Method,Name,Error,Occurrences
POST,/api/v1/travelservice/trips/left,RemoteDisconnected('Remote end closed connection without response'),27345
GET,/client_login.html,RemoteDisconnected('Remote end closed connection without response'),4871
GET,/api/v1/adminorderservice/adminorder,"ConnectionResetError(104, 'Connection reset by peer')",10
POST,/api/v1/users/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/users/login'),4
GET,/adminlogin.html,"ConnectionResetError(104, 'Connection reset by peer')",714
GET,/api/v1/adminorderservice/adminorder,HTTPError('504 Server Error: Gateway Time-out for url: /api/v1/adminorderservice/adminorder'),604
GET,/api/v1/verifycode/generate,"ConnectionResetError(104, 'Connection reset by peer')",6277
GET,/api/v1/adminuserservice/users,"ConnectionResetError(104, 'Connection reset by peer')",46
GET,/index.html,RemoteDisconnected('Remote end closed connection without response'),27567
POST,/api/v1/users/login,RemoteDisconnected('Remote end closed connection without response'),9446
GET,/client_login.html,"ConnectionResetError(104, 'Connection reset by peer')",774
POST,/api/v1/travelservice/trips/left,HTTPError('504 Server Error: Gateway Time-out for url: /api/v1/travelservice/trips/left'),1319
GET,/api/v1/adminuserservice/users,RemoteDisconnected('Remote end closed connection without response'),317
GET,/index.html,"ConnectionResetError(104, 'Connection reset by peer')",4712
POST,/api/v1/users/login,"ConnectionResetError(104, 'Connection reset by peer')",1606
GET,/api/v1/verifycode/generate,RemoteDisconnected('Remote end closed connection without response'),32329
POST,/api/v1/travelservice/trips/left,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/travelservice/trips/left'),22
GET,/api/v1/verifycode/generate,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/verifycode/generate'),12
GET,/adminlogin.html,RemoteDisconnected('Remote end closed connection without response'),4570
POST,/api/v1/travelservice/trips/left,"ConnectionResetError(104, 'Connection reset by peer')",5552
GET,/api/v1/adminorderservice/adminorder,RemoteDisconnected('Remote end closed connection without response'),219
