Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/adminlogin.html,5114,1226,70,325.2071418619533,1.2841876596212387,1823.0062713846564,1737.2076652326946,16.5467696503023,3.966824323674348,70,330,660,780,990,1100,1300,1400,1700,1800,1800
GET,/api/v1/adminorderservice/adminorder,3159,3159,60000.0,35206.41719131435,0.8816872723400593,61094.76830903441,110.74358974358974,10.22120557788521,10.22120557788521,60000,60000,60000,60000,60000,60000,60000,60000,61000,61000,61000
GET,/api/v1/adminuserservice/users,3148,884,110.0,344.11249273936494,0.9157313033938408,1862.5412001274526,116676.6121346887,10.185614168782095,2.8602550588320748,110,310,660,810,1000,1200,1300,1500,1800,1900,1900
POST,/api/v1/travel2service/trips/left,17759,7441,50,72.74454304840627,0.9306306019425392,1661.6163337603211,25.400810856467142,57.46071220565477,24.07597046693379,50,68,76,80,95,250,300,650,1400,1700,1700
POST,/api/v1/travelservice/trips/left,25865,8100,70,218.3081621251224,0.9214086458086967,1852.7480149641633,29.823931954378505,83.68834513200409,26.208219430474895,70,85,180,310,820,1000,1200,1300,1600,1800,1900
POST,/api/v1/users/login,9679,2924,180.0,294.64300111857386,0.963378231972456,1890.504898969084,238.23029238557703,31.31720442809463,9.460843656136863,180,210,290,400,920,1100,1300,1400,1700,1900,1900
GET,/api/v1/verifycode/generate,30488,9331,58,211.8929896757198,0.816787127405405,1833.2832157611847,867.3122868013645,98.6464437032492,30.19122166737793,58,71,130,330,830,1000,1200,1300,1600,1800,1800
GET,/client_login.html,4589,1242,68,329.711938356645,1.025825273245573,1827.0990122109652,8928.007626933973,14.848088761290036,4.018593646006151,68,370,680,780,980,1100,1300,1400,1700,1800,1800
GET,/index.html,25942,7656,89,373.24022699034236,0.8770199492573738,1856.1348807998002,12778.066764320407,83.9374849957259,24.77162073576738,89,560,740,830,1000,1200,1400,1500,1800,1800,1900
,Aggregated,125743,41963,67,1124.5918058429688,0.816787127405405,61094.76830903441,6194.874195780282,406.85186862298826,135.77475456308863,67,110,290,580,910,1100,1500,60000,60000,60000,61000
