Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/adminlogin.html,8870,6563,61,85.8933662861825,1.1126445606350899,642.4304647371173,594.3060879368659,28.73789885330779,21.263453232723677,61,99,120,140,190,290,420,480,580,640,640
GET,/api/v1/adminorderservice/adminorder,1713,1713,66,28366.645737155384,0.8647507056593895,60324.52037604526,89.25919439579685,5.549945967949971,5.549945967949971,66,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/adminuserservice/users,1713,962,57,97.73275275375983,0.7231319323182106,647.7112770080566,71125.58785755983,5.549945967949971,3.1167822657138777,57,100,130,140,190,320,480,550,620,650,650
GET,/api/v1/assuranceservice/assurances/types,8470,7452,71,95.91777616806127,1.204777043312788,636.5825957618654,25.74746162927981,27.4419394912646,24.14372291486467,71,110,130,150,220,320,430,490,610,640,640
GET,/api/v1/contactservice/contacts/account/,2604,2604,47,74.75131342277652,1.2073209509253502,649.8878858983517,30.912826420890937,8.436695446901181,8.436695446901181,47,86,110,130,170,250,360,420,610,650,650
GET,/api/v1/contactservice/contacts/account/000c6b1a-a31f-4250-ab0c-612833adb6a1,12,9,10,99.78219676607598,5.109093151986599,452.2624257951975,51.75,0.03887878086129577,0.029159085645971826,13,84,150,150,360,450,450,450,450,450,450
GET,/api/v1/contactservice/contacts/account/001aeda9-2c16-4b15-8fdf-82547ea49b31,11,10,110.0,116.82467145675963,2.9211500659585,348.9136272110045,18.818181818181817,0.035638882456187786,0.032398984051079806,110,160,180,180,290,350,350,350,350,350,350
GET,/api/v1/contactservice/contacts/account/0061bdc1-c829-4418-8782-706c71c939ca,12,10,86,135.64457274818173,4.195300862193108,353.72263891622424,34.5,0.03887878086129577,0.032398984051079806,95,120,240,240,340,350,350,350,350,350,350
GET,/api/v1/contactservice/contacts/account/014de777-0fad-4a1e-af9e-bbe5bfedff75,12,9,88,94.50703401428957,1.583231147378683,282.77602698653936,51.75,0.03887878086129577,0.029159085645971826,97,100,180,180,240,280,280,280,280,280,280
GET,/api/v1/contactservice/contacts/account/032dc35d-a55b-441b-9286-071c6c121f68,5,5,57,55.656782165169716,3.9308168925344944,111.78706306964159,0.0,0.016199492025539903,0.016199492025539903,57,100,100,110,110,110,110,110,110,110,110
GET,/api/v1/contactservice/contacts/account/0371c3d5-2792-406e-bdf9-3bf34f9683fc,13,11,10,55.26708736299322,1.6713826917111874,182.91251687332988,31.846153846153847,0.04211867926640375,0.035638882456187786,10,82,90,150,170,180,180,180,180,180,180
GET,/api/v1/contactservice/contacts/account/0398a111-e384-4259-b46a-cde565bc27a6,5,4,11,37.79165167361498,3.2976451329886913,106.62983311340213,41.4,0.016199492025539903,0.012959593620431923,11,60,60,110,110,110,110,110,110,110,110
GET,/api/v1/contactservice/contacts/account/04ae92d8-aec8-473d-88fa-ff3745df0f93,3,3,170.0,164.36213115230203,106.72416025772691,221.09407791867852,0.0,0.009719695215323943,0.009719695215323943,170,170,220,220,220,220,220,220,220,220,220
GET,/api/v1/contactservice/contacts/account/05081d32-804b-47b6-926f-66073e71cd20,4,3,100.0,193.6867373296991,73.59203277155757,444.02414560317993,51.75,0.012959593620431923,0.009719695215323943,150,150,440,440,440,440,440,440,440,440,440
GET,/api/v1/contactservice/contacts/account/05940e42-b1d5-438e-8988-606923593564,4,4,73,87.14579232037067,59.90584474056959,114.55373000353575,0.0,0.012959593620431923,0.012959593620431923,100,100,110,110,110,110,110,110,110,110,110
GET,/api/v1/contactservice/contacts/account/05b84353-476d-46be-b7ba-dd413de5bfb7,13,12,44,80.43239541495076,1.766288187354803,327.43257377296686,15.923076923076923,0.04211867926640375,0.03887878086129577,44,100,110,120,210,330,330,330,330,330,330
GET,/api/v1/contactservice/contacts/account/06188462-dffd-489d-89ff-c424b28f458a,6,6,58,89.72885669209063,14.325919095426798,171.76429694518447,0.0,0.019439390430647886,0.019439390430647886,95,95,160,160,170,170,170,170,170,170,170
GET,/api/v1/contactservice/contacts/account/063f4405-877b-4edd-9229-f75f285e8224,12,10,52,70.148830069229,2.6773158460855484,225.83332192152739,34.5,0.03887878086129577,0.032398984051079806,72,100,110,110,150,230,230,230,230,230,230
GET,/api/v1/contactservice/contacts/account/064b17d9-3ac2-45e1-b7f3-6c3bd59e2de1,11,10,96,115.90890201147307,2.454339060932398,281.8646701052785,18.818181818181817,0.035638882456187786,0.032398984051079806,96,150,150,150,260,280,280,280,280,280,280
GET,/api/v1/contactservice/contacts/account/06b8b32b-c196-45a7-a35a-87367b8cd637,1,1,191.7906771413982,191.7906771413982,191.7906771413982,191.7906771413982,0.0,0.0032398984051079808,0.0032398984051079808,190,190,190,190,190,190,190,190,190,190,190
GET,/api/v1/contactservice/contacts/account/0704a535-6167-407f-b6df-490f73a4ba55,10,8,46,72.98085293732584,4.293219652026892,176.87836941331625,41.4,0.032398984051079806,0.025919187240863846,54,120,150,160,180,180,180,180,180,180,180
GET,/api/v1/contactservice/contacts/account/076290dd-0695-48eb-8577-2f1392551570,21,16,47,85.44169951762471,2.1380260586738586,406.93270694464445,49.285714285714285,0.06803786650726759,0.05183837448172769,47,110,110,140,210,230,410,410,410,410,410
GET,/api/v1/contactservice/contacts/account/07e70fcf-cb69-439f-a745-7d2a45965e2e,26,21,44,66.2696732279773,1.9896291196346283,209.12840263918042,39.80769230769231,0.0842373585328075,0.06803786650726759,47,100,120,120,160,160,210,210,210,210,210
GET,/api/v1/contactservice/contacts/account/0800fc04-63ff-410a-b504-3d363a4b89f7,7,4,30,100.35916032003504,8.669689297676086,471.63539100438356,88.71428571428571,0.022679288835755866,0.012959593620431923,30,45,110,110,470,470,470,470,470,470,470
GET,/api/v1/contactservice/contacts/account/08359d60-fcce-40aa-a4ac-3ed83c50b84a,7,6,120.0,107.5487257912755,1.7958981916308403,265.3242778033018,29.571428571428573,0.022679288835755866,0.019439390430647886,120,130,130,130,270,270,270,270,270,270,270
GET,/api/v1/contactservice/contacts/account/0894d8d5-cc33-4d92-b9fd-816a5d902f48,4,1,9,61.894409358501434,4.921860061585903,209.1649193316698,155.25,0.012959593620431923,0.0032398984051079808,24,24,210,210,210,210,210,210,210,210,210
GET,/api/v1/contactservice/contacts/account/09c4cf80-ceaf-44da-a0e1-8e05606658b5,3,3,90,177.33823228627443,46.753319911658764,395.5697580240667,0.0,0.009719695215323943,0.009719695215323943,90,90,400,400,400,400,400,400,400,400,400
GET,/api/v1/contactservice/contacts/account/09dc7165-7c4c-4da0-936c-b9c16c9467ed,17,12,80,152.3808076265542,2.429600339382887,621.9658167101443,60.88235294117647,0.05507827288683567,0.03887878086129577,80,110,200,210,450,620,620,620,620,620,620
GET,/api/v1/contactservice/contacts/account/0a07f7e7-2447-44f9-98fa-47356c833b35,8,4,25,61.015998653601855,2.7788719162344933,216.01866697892547,103.5,0.025919187240863846,0.012959593620431923,47,74,100,100,220,220,220,220,220,220,220
GET,/api/v1/contactservice/contacts/account/0a4c346f-7a64-475b-84b7-fb31a3332823,3,2,9,42.713027292241655,5.501606967300177,113.90910297632217,69.0,0.009719695215323943,0.0064797968102159615,9,9,110,110,110,110,110,110,110,110,110
GET,/api/v1/contactservice/contacts/account/0ac265e9-cd72-46d8-84ba-fc6f30075a73,4,4,44,156.56634198967367,5.03524811938405,401.25900506973267,0.0,0.012959593620431923,0.012959593620431923,180,180,400,400,400,400,400,400,400,400,400
GET,/api/v1/contactservice/contacts/account/0bb2aacd-4887-4c5e-9641-13022f5ca601,10,7,76,118.57382194139063,43.62113866955042,329.5303783379495,62.1,0.032398984051079806,0.022679288835755866,87,160,160,160,330,330,330,330,330,330,330
GET,/api/v1/contactservice/contacts/account/0c65860b-7ab5-4bc4-b56e-021012c9afe9,11,9,59,89.65631438927217,4.7217910178005695,252.01882794499397,37.63636363636363,0.035638882456187786,0.029159085645971826,59,130,160,160,170,250,250,250,250,250,250
GET,/api/v1/contactservice/contacts/account/0d6f8a5c-732c-4bf5-b8d4-49fda3735113,4,2,11,42.5650222459808,3.3223219215869904,141.18143217638135,103.5,0.012959593620431923,0.0064797968102159615,14,14,140,140,140,140,140,140,140,140,140
GET,/api/v1/contactservice/contacts/account/0eb607af-8057-4cf2-890b-e0cf5dfa9c4c,5,4,270.0,277.8779059648514,2.4489578790962696,541.6454016231,41.4,0.016199492025539903,0.012959593620431923,270,450,450,540,540,540,540,540,540,540,540
GET,/api/v1/contactservice/contacts/account/0f764c2f-d8c8-4f80-b076-23584bc35de6,7,6,45,72.43911077135375,7.5011830776929855,248.30035585910082,29.571428571428573,0.022679288835755866,0.019439390430647886,45,71,91,91,250,250,250,250,250,250,250
GET,/api/v1/contactservice/contacts/account/0f7c575e-c016-47ce-9d92-dcf79592e3ce,7,3,66,67.63454972367201,9.483503643423319,144.93027795106173,118.28571428571429,0.022679288835755866,0.009719695215323943,66,86,140,140,140,140,140,140,140,140,140
GET,/api/v1/contactservice/contacts/account/1042f596-cd77-45a2-a3c1-beb0c9335ca9,9,7,99,137.26191558978624,23.468118626624346,356.99139488860965,46.0,0.029159085645971826,0.022679288835755866,99,110,160,300,360,360,360,360,360,360,360
GET,/api/v1/contactservice/contacts/account/10a8c2a3-3df0-4b5b-90dd-4718bdabc068,4,4,77,141.12997113261372,52.40953480824828,337.0883036404848,0.0,0.012959593620431923,0.012959593620431923,98,98,340,340,340,340,340,340,340,340,340
GET,/api/v1/contactservice/contacts/account/10c5ae3c-c23a-449b-b5b3-4e3c4e547061,12,11,46,73.410891306897,1.7069228924810886,403.51812401786447,17.25,0.03887878086129577,0.035638882456187786,51,76,83,83,110,400,400,400,400,400,400
GET,/api/v1/contactservice/contacts/account/10ed8bf2-176f-4cea-b7b6-a806b1d8f890,16,13,110.0,129.9412251682952,8.81718983873725,395.9953603334725,38.8125,0.05183837448172769,0.04211867926640375,110,140,160,160,380,400,400,400,400,400,400
GET,/api/v1/contactservice/contacts/account/11d23098-f65d-43c5-9083-03082496f3c8,8,6,84,73.754625802394,6.242448929697275,161.75854485481977,51.75,0.025919187240863846,0.019439390430647886,84,87,130,130,160,160,160,160,160,160,160
GET,/api/v1/contactservice/contacts/account/12303275-75db-4f1f-98d6-8e77d8b86e94,14,9,64,78.28086405061185,2.322985790669918,262.7985649742186,73.92857142857143,0.04535857767151173,0.029159085645971826,81,92,120,140,160,260,260,260,260,260,260
GET,/api/v1/contactservice/contacts/account/128f2374-e7d0-4812-89a7-d4ec47ecca50,8,7,3,5.86469384143129,1.90670695155859,12.776040937751532,25.875,0.025919187240863846,0.022679288835755866,6,7,11,11,13,13,13,13,13,13,13
GET,/api/v1/contactservice/contacts/account/12bd5c9c-36f6-4379-9920-658a8d9fb6fb,24,19,11,68.19131332061563,2.724390011280775,422.44470585137606,43.125,0.07775756172259154,0.06155806969705164,17,53,71,88,240,360,420,420,420,420,420
GET,/api/v1/contactservice/contacts/account/13b7a2f4-b920-4c20-9fdb-90e23ae13ac5,6,3,10,45.361742144450545,3.3752028830349445,137.2634251601994,103.5,0.019439390430647886,0.009719695215323943,26,26,90,90,140,140,140,140,140,140,140
GET,/api/v1/contactservice/contacts/account/15047af6-be58-4547-8405-7d0b5fb6a78c,7,6,180.0,185.52752856963448,2.593602053821087,397.7739200927317,29.571428571428573,0.022679288835755866,0.019439390430647886,180,260,330,330,400,400,400,400,400,400,400
GET,/api/v1/contactservice/contacts/account/153f9234-6f30-4436-a770-f340a991bc2c,6,3,10,32.41767501458526,3.1042583286762238,103.16865518689156,103.5,0.019439390430647886,0.009719695215323943,20,20,51,51,100,100,100,100,100,100,100
GET,/api/v1/contactservice/contacts/account/15c025aa-f552-4c0c-a4b7-4b175860f776,12,9,35,96.63993450036894,3.4256363287568092,452.3284356109798,51.75,0.03887878086129577,0.029159085645971826,51,92,130,130,250,450,450,450,450,450,450
GET,/api/v1/contactservice/contacts/account/16230a22-d50a-4028-be7e-ab051bf0060d,9,4,76,116.03009985345933,9.917337913066149,396.06549497693777,115.0,0.029159085645971826,0.012959593620431923,76,90,110,210,400,400,400,400,400,400,400
GET,/api/v1/contactservice/contacts/account/16a332bc-6f9b-4ced-a03e-41443552f9f0,5,2,11,103.87264601886272,5.972646176815033,312.00583698228,124.2,0.016199492025539903,0.0064797968102159615,11,180,180,310,310,310,310,310,310,310,310
GET,/api/v1/contactservice/contacts/account/16a418a7-41a8-4dfa-9afe-61d24042c961,5,5,4,117.73476526141167,2.0687729120254517,516.5296299383044,0.0,0.016199492025539903,0.016199492025539903,4,64,64,520,520,520,520,520,520,520,520
GET,/api/v1/contactservice/contacts/account/1735e83c-56f6-47dc-97aa-f7e0983ded0c,9,8,46,82.59932500206762,2.2467109374701977,315.9267674200237,23.0,0.029159085645971826,0.025919187240863846,46,92,110,130,320,320,320,320,320,320,320
GET,/api/v1/contactservice/contacts/account/17fb7f88-485a-4ae2-9e43-a26654f48fd4,13,12,57,82.37747848033905,1.4048218727111816,444.46595618501306,15.923076923076923,0.04211867926640375,0.03887878086129577,57,82,90,93,130,440,440,440,440,440,440
GET,/api/v1/contactservice/contacts/account/1894a1c2-dc18-45ff-8875-2546fb1611b0,2,2,130.0,301.1391032487154,129.4751912355423,472.8030152618885,0.0,0.0064797968102159615,0.0064797968102159615,470,470,470,470,470,470,470,470,470,470,470
GET,/api/v1/contactservice/contacts/account/1b68a736-98e2-46a9-8809-d500c97380e8,8,3,77,89.12507112836465,7.305305916815996,208.7616161443293,129.375,0.025919187240863846,0.009719695215323943,90,100,150,150,210,210,210,210,210,210,210
GET,/api/v1/contactservice/contacts/account/1c4b5476-76a1-49d5-a0f8-453928a988fd,2,1,37,113.2717770524323,36.558186169713736,189.98536793515086,103.5,0.0064797968102159615,0.0032398984051079808,190,190,190,190,190,190,190,190,190,190,190
