t,total_energy
0,0
1,2.41965
2,4.79843
3,7.17721
4,9.55598
5,11.9348
6,14.3589
7,16.7377
8,19.1164
9,21.4952
10,23.874
11,26.301
12,28.6798
13,31.0585
14,33.4373
15,35.8161
16,38.2462
17,40.625
18,43.0038
19,45.3825
20,47.7613
21,50.1939
22,52.5727
23,54.9514
24,57.3302
25,59.709
26,62.1445
27,64.5232
28,66.902
29,69.2808
30,71.6596
31,74.1
32,76.4788
33,78.8576
34,81.2363
35,83.6151
36,86.0589
37,88.4377
38,90.8165
39,93.1952
40,95.574
41,98.0225
42,100.401
43,102.78
44,105.159
45,107.538
46,109.989
47,112.368
48,114.747
49,117.126
50,119.505
51,121.961
52,124.339
53,126.718
54,129.097
55,131.476
56,133.937
57,136.316
58,138.695
59,141.073
60,143.452
61,145.917
62,148.296
63,150.674
64,153.053
65,155.432
66,157.901
67,160.279
68,162.658
69,165.037
70,167.416
71,169.889
72,172.268
73,174.647
74,177.026
75,179.404
76,181.882
77,184.26
78,186.639
79,189.018
80,191.397
81,193.878
82,196.257
83,198.636
84,201.015
85,203.393
86,205.88
87,208.259
88,210.637
89,213.016
90,215.395
91,217.886
92,220.264
93,222.643
94,225.022
95,227.401
96,229.896
97,232.275
98,234.653
99,237.032
100,239.411
101,241.91
102,244.289
103,246.667
104,249.046
105,251.425
106,253.929
107,256.308
108,258.686
109,261.065
110,263.444
111,265.952
112,268.331
113,270.71
114,273.089
115,275.467
116,277.98
117,280.359
118,282.738
119,285.116
120,287.495
121,290.012
122,292.391
123,294.77
124,297.149
125,299.528
126,302.049
127,304.428
128,306.807
129,309.186
130,311.564
131,314.092
132,316.471
133,318.85
134,321.229
135,323.607
136,326.14
137,328.518
138,330.897
139,333.276
140,335.655
141,338.191
142,340.569
143,342.948
144,345.327
145,347.706
146,350.247
147,352.626
148,355.005
149,357.383
150,359.762
151,362.308
152,364.687
153,367.066
154,369.445
155,371.823
156,374.375
157,376.754
158,379.132
159,381.511
160,383.89
161,386.445
162,388.824
163,391.203
164,393.582
165,395.96
166,398.519
167,400.898
168,403.277
169,405.656
170,408.034
171,410.598
172,412.977
173,415.355
174,417.734
175,420.113
176,422.68
177,425.059
178,427.438
179,429.816
180,432.195
181,434.767
182,437.145
183,439.524
184,441.903
185,444.282
186,446.856
187,449.235
188,451.613
189,453.992
190,456.371
191,458.95
192,461.329
193,463.708
194,466.086
195,468.465
196,471.048
197,473.427
198,475.806
199,478.185
200,480.563
201,483.149
202,485.528
203,487.907
204,490.286
205,492.665
206,495.254
207,497.632
208,500.011
209,502.39
210,504.769
211,507.359
212,509.738
213,512.117
214,514.495
215,516.874
216,519.467
217,521.846
218,524.224
219,526.603
220,528.982
221,531.578
222,533.957
223,536.335
224,538.714
225,541.093
226,543.689
227,546.068
228,548.447
229,550.826
230,553.204
231,555.802
232,558.181
233,560.56
234,562.939
235,565.317
236,567.917
237,570.295
238,572.674
239,575.053
240,577.432
241,580.031
242,582.41
243,584.789
244,587.167
245,589.546
246,592.145
247,594.523
248,596.902
249,599.281
250,601.66
251,604.258
252,606.637
253,609.015
254,611.394
255,613.773
256,616.372
257,618.751
258,621.129
259,623.508
260,625.887
261,628.473
262,630.851
263,633.23
264,635.609
265,637.988
266,640.557
267,642.935
268,645.314
269,647.693
270,650.072
271,652.623
272,655.001
273,657.38
274,659.759
275,662.138
276,664.67
277,667.049
278,669.427
279,671.806
280,674.185
281,676.697
282,679.076
283,681.454
284,683.833
285,686.212
286,688.706
287,691.085
288,693.464
289,695.843
290,698.221
291,700.698
292,703.077
293,705.456
294,707.835
295,710.214
296,712.673
297,715.052
298,717.431
299,719.809
300,722.188
