t,total_energy
0,0
1,2.40082
2,4.7796
3,7.15838
4,9.53716
5,11.9159
6,14.3242
7,16.703
8,19.0818
9,21.4605
10,23.8393
11,26.2604
12,28.6392
13,31.018
14,33.3967
15,35.7755
16,38.2094
17,40.5882
18,42.967
19,45.3458
20,47.7245
21,50.174
22,52.5528
23,54.9316
24,57.3104
25,59.6891
26,62.1529
27,64.5317
28,66.9105
29,69.2892
30,71.668
31,74.1441
32,76.5229
33,78.9017
34,81.2804
35,83.6592
36,86.1495
37,88.5283
38,90.9071
39,93.2859
40,95.6646
41,98.1674
42,100.546
43,102.925
44,105.304
45,107.683
46,110.2
47,112.578
48,114.957
49,117.336
50,119.715
51,122.243
52,124.621
53,127
54,129.379
55,131.758
56,134.294
57,136.672
58,139.051
59,141.43
60,143.809
61,146.349
62,148.728
63,151.107
64,153.485
65,155.864
66,158.406
67,160.785
68,163.164
69,165.543
70,167.921
71,170.465
72,172.844
73,175.222
74,177.601
75,179.98
76,182.521
77,184.9
78,187.279
79,189.658
80,192.036
81,194.578
82,196.957
83,199.336
84,201.715
85,204.093
86,206.636
87,209.015
88,211.393
89,213.772
90,216.151
91,218.693
92,221.072
93,223.451
94,225.83
95,228.208
96,230.752
97,233.131
98,235.51
99,237.889
100,240.267
101,242.81
102,245.189
103,247.568
104,249.946
105,252.325
106,254.867
107,257.246
108,259.625
109,262.004
110,264.382
111,266.926
112,269.305
113,271.684
114,274.063
115,276.441
116,278.984
117,281.362
118,283.741
119,286.12
120,288.499
121,291.041
122,293.419
123,295.798
124,298.177
125,300.556
126,303.097
127,305.476
128,307.855
129,310.234
130,312.613
131,315.155
132,317.534
133,319.912
134,322.291
135,324.67
136,327.212
137,329.591
138,331.97
139,334.349
140,336.727
141,339.269
142,341.647
143,344.026
144,346.405
145,348.784
146,351.324
147,353.703
148,356.082
149,358.461
150,360.84
151,363.381
152,365.759
153,368.138
154,370.517
155,372.896
156,375.436
157,377.815
158,380.193
159,382.572
160,384.951
161,387.492
162,389.871
163,392.25
164,394.628
165,397.007
166,399.547
167,401.926
168,404.305
169,406.684
170,409.062
171,411.604
172,413.983
173,416.362
174,418.741
175,421.119
176,423.662
177,426.041
178,428.42
179,430.798
180,433.177
181,435.719
182,438.097
183,440.476
184,442.855
185,445.234
186,447.776
187,450.154
188,452.533
189,454.912
190,457.291
191,459.831
192,462.21
193,464.589
194,466.968
195,469.347
196,471.888
197,474.267
198,476.645
199,479.024
200,481.403
201,483.945
202,486.324
203,488.702
204,491.081
205,493.46
206,496
207,498.379
208,500.757
209,503.136
210,505.515
211,508.056
212,510.435
213,512.813
214,515.192
215,517.571
216,520.11
217,522.489
218,524.868
219,527.247
220,529.626
221,532.165
222,534.544
223,536.923
224,539.301
225,541.68
226,544.219
227,546.598
228,548.977
229,551.355
230,553.734
231,556.272
232,558.651
233,561.03
234,563.409
235,565.788
236,568.326
237,570.705
238,573.083
239,575.462
240,577.841
241,580.379
242,582.758
243,585.137
244,587.516
245,589.895
246,592.433
247,594.811
248,597.19
249,599.569
250,601.948
251,604.486
252,606.865
253,609.244
254,611.623
255,614.001
256,616.54
257,618.919
258,621.298
259,623.676
260,626.055
261,628.594
262,630.972
263,633.351
264,635.73
265,638.109
266,640.648
267,643.027
268,645.405
269,647.784
270,650.163
271,652.703
272,655.082
273,657.461
274,659.839
275,662.218
276,664.758
277,667.137
278,669.516
279,671.894
280,674.273
281,676.814
282,679.192
283,681.571
284,683.95
285,686.329
286,688.868
287,691.247
288,693.625
289,696.004
290,698.383
291,700.91
292,703.288
293,705.667
294,708.046
295,710.425
296,712.937
297,715.316
298,717.695
299,720.074
300,722.452
