t,total_energy
0,0
1,2.41394
2,4.79272
3,7.17149
4,9.55027
5,11.929
6,14.3486
7,16.7273
8,19.1061
9,21.4849
10,23.8637
11,26.2883
12,28.6671
13,31.0459
14,33.4246
15,35.8034
16,38.2293
17,40.608
18,42.9868
19,45.3656
20,47.7444
21,50.17
22,52.5488
23,54.9276
24,57.3063
25,59.6851
26,62.1109
27,64.4897
28,66.8685
29,69.2473
30,71.6261
31,74.0519
32,76.4307
33,78.8095
34,81.1882
35,83.567
36,85.9931
37,88.3719
38,90.7507
39,93.1295
40,95.5082
41,97.936
42,100.315
43,102.694
44,105.072
45,107.451
46,109.878
47,112.257
48,114.636
49,117.014
50,119.393
51,121.815
52,124.193
53,126.572
54,128.951
55,131.33
56,133.759
57,136.137
58,138.516
59,140.895
60,143.274
61,145.717
62,148.096
63,150.475
64,152.853
65,155.232
66,157.69
67,160.069
68,162.448
69,164.826
70,167.205
71,169.683
72,172.062
73,174.441
74,176.82
75,179.198
76,181.682
77,184.061
78,186.44
79,188.818
80,191.197
81,193.684
82,196.063
83,198.442
84,200.82
85,203.199
86,205.687
87,208.065
88,210.444
89,212.823
90,215.202
91,217.689
92,220.068
93,222.446
94,224.825
95,227.204
96,229.69
97,232.069
98,234.448
99,236.826
100,239.205
101,241.692
102,244.07
103,246.449
104,248.828
105,251.207
106,253.692
107,256.07
108,258.449
109,260.828
110,263.207
111,265.677
112,268.056
113,270.435
114,272.813
115,275.192
116,277.645
117,280.024
118,282.402
119,284.781
120,287.16
121,289.603
122,291.982
123,294.361
124,296.74
125,299.118
126,301.557
127,303.935
128,306.314
129,308.693
130,311.072
131,313.512
132,315.891
133,318.269
134,320.648
135,323.027
136,325.465
137,327.844
138,330.223
139,332.601
140,334.98
141,337.419
142,339.797
143,342.176
144,344.555
145,346.934
146,349.372
147,351.751
148,354.13
149,356.509
150,358.887
151,361.326
152,363.705
153,366.084
154,368.462
155,370.841
156,373.28
157,375.659
158,378.038
159,380.416
160,382.795
161,385.234
162,387.613
163,389.991
164,392.37
165,394.749
166,397.188
167,399.567
168,401.945
169,404.324
170,406.703
171,409.139
172,411.517
173,413.896
174,416.275
175,418.654
176,421.08
177,423.459
178,425.838
179,428.216
180,430.595
181,433.007
182,435.385
183,437.764
184,440.143
185,442.522
186,444.938
187,447.317
188,449.695
189,452.074
190,454.453
191,456.883
192,459.262
193,461.641
194,464.02
195,466.398
196,468.84
197,471.219
198,473.598
199,475.977
200,478.356
201,480.809
202,483.187
203,485.566
204,487.945
205,490.324
206,492.784
207,495.163
208,497.542
209,499.92
210,502.299
211,504.76
212,507.139
213,509.518
214,511.896
215,514.275
216,516.737
217,519.116
218,521.495
219,523.873
220,526.252
221,528.713
222,531.092
223,533.471
224,535.85
225,538.229
226,540.69
227,543.069
228,545.447
229,547.826
230,550.205
231,552.665
232,555.044
233,557.423
234,559.801
235,562.18
236,564.639
237,567.018
238,569.397
239,571.776
240,574.155
241,576.604
242,578.983
243,581.361
244,583.74
245,586.119
246,588.562
247,590.941
248,593.319
249,595.698
250,598.077
251,600.52
252,602.899
253,605.278
254,607.657
255,610.035
256,612.483
257,614.861
258,617.24
259,619.619
260,621.998
261,624.456
262,626.835
263,629.214
264,631.593
265,633.971
266,636.437
267,638.816
268,641.195
269,643.574
270,645.952
271,648.419
272,650.798
273,653.177
274,655.556
275,657.934
276,660.402
277,662.78
278,665.159
279,667.538
280,669.917
281,672.385
282,674.763
283,677.142
284,679.521
285,681.9
286,684.367
287,686.746
288,689.125
289,691.504
290,693.882
291,696.35
292,698.729
293,701.108
294,703.487
295,705.865
296,708.33
297,710.709
298,713.087
299,715.466
300,717.845
