t,total_energy
0,0
1,2.41546
2,4.79424
3,7.17302
4,9.5518
5,11.9306
6,14.3531
7,16.7319
8,19.1107
9,21.4895
10,23.8682
11,26.2968
12,28.6756
13,31.0543
14,33.4331
15,35.8119
16,38.2395
17,40.6183
18,42.9971
19,45.3759
20,47.7547
21,50.1823
22,52.561
23,54.9398
24,57.3186
25,59.6974
26,62.125
27,64.5038
28,66.8826
29,69.2613
30,71.6401
31,74.0682
32,76.447
33,78.8258
34,81.2046
35,83.5833
36,86.0118
37,88.3906
38,90.7694
39,93.1481
40,95.5269
41,97.955
42,100.334
43,102.713
44,105.091
45,107.47
46,109.897
47,112.276
48,114.654
49,117.033
50,119.412
51,121.834
52,124.213
53,126.592
54,128.971
55,131.349
56,133.777
57,136.156
58,138.534
59,140.913
60,143.292
61,145.725
62,148.104
63,150.483
64,152.862
65,155.24
66,157.682
67,160.061
68,162.439
69,164.818
70,167.197
71,169.652
72,172.031
73,174.409
74,176.788
75,179.167
76,181.623
77,184.002
78,186.381
79,188.76
80,191.138
81,193.595
82,195.974
83,198.353
84,200.731
85,203.11
86,205.566
87,207.945
88,210.324
89,212.703
90,215.081
91,217.538
92,219.917
93,222.295
94,224.674
95,227.053
96,229.509
97,231.888
98,234.267
99,236.645
100,239.024
101,241.48
102,243.859
103,246.238
104,248.617
105,250.995
106,253.45
107,255.829
108,258.208
109,260.587
110,262.965
111,265.407
112,267.786
113,270.165
114,272.544
115,274.922
116,277.351
117,279.729
118,282.108
119,284.487
120,286.866
121,289.285
122,291.664
123,294.043
124,296.421
125,298.8
126,301.213
127,303.592
128,305.971
129,308.35
130,310.728
131,313.15
132,315.529
133,317.908
134,320.286
135,322.665
136,325.092
137,327.471
138,329.85
139,332.228
140,334.607
141,337.037
142,339.416
143,341.795
144,344.174
145,346.553
146,348.983
147,351.362
148,353.74
149,356.119
150,358.498
151,360.929
152,363.307
153,365.686
154,368.065
155,370.444
156,372.875
157,375.253
158,377.632
159,380.011
160,382.39
161,384.82
162,387.199
163,389.578
164,391.957
165,394.335
166,396.766
167,399.145
168,401.524
169,403.903
170,406.282
171,408.712
172,411.091
173,413.47
174,415.848
175,418.227
176,420.654
177,423.033
178,425.412
179,427.791
180,430.169
181,432.596
182,434.975
183,437.354
184,439.733
185,442.112
186,444.54
187,446.919
188,449.298
189,451.676
190,454.055
191,456.492
192,458.87
193,461.249
194,463.628
195,466.007
196,468.456
197,470.834
198,473.213
199,475.592
200,477.971
201,480.428
202,482.807
203,485.185
204,487.564
205,489.943
206,492.401
207,494.78
208,497.158
209,499.537
210,501.916
211,504.375
212,506.753
213,509.132
214,511.511
215,513.89
216,516.348
217,518.727
218,521.106
219,523.485
220,525.864
221,528.321
222,530.7
223,533.079
224,535.458
225,537.837
226,540.296
227,542.674
228,545.053
229,547.432
230,549.811
231,552.269
232,554.648
233,557.026
234,559.405
235,561.784
236,564.235
237,566.614
238,568.993
239,571.371
240,573.75
241,576.19
242,578.569
243,580.948
244,583.326
245,585.705
246,588.133
247,590.512
248,592.891
249,595.27
250,597.648
251,600.065
252,602.444
253,604.823
254,607.201
255,609.58
256,611.995
257,614.374
258,616.753
259,619.132
260,621.51
261,623.931
262,626.31
263,628.689
264,631.067
265,633.446
266,635.87
267,638.249
268,640.628
269,643.006
270,645.385
271,647.811
272,650.19
273,652.569
274,654.948
275,657.326
276,659.753
277,662.132
278,664.51
279,666.889
280,669.268
281,671.694
282,674.073
283,676.452
284,678.83
285,681.209
286,683.636
287,686.014
288,688.393
289,690.772
290,693.151
291,695.577
292,697.956
293,700.334
294,702.713
295,705.092
296,707.518
297,709.897
298,712.276
299,714.654
300,717.033
