t,total_energy
0,0
1,2.39611
2,4.77489
3,7.15367
4,9.53245
5,11.9112
6,14.3099
7,16.6887
8,19.0675
9,21.4463
10,23.825
11,26.2269
12,28.6057
13,30.9845
14,33.3632
15,35.742
16,38.1474
17,40.5262
18,42.9049
19,45.2837
20,47.6625
21,50.072
22,52.4508
23,54.8296
24,57.2084
25,59.5871
26,62.0008
27,64.3796
28,66.7584
29,69.1371
30,71.5159
31,73.9375
32,76.3163
33,78.695
34,81.0738
35,83.4526
36,85.8835
37,88.2623
38,90.6411
39,93.0198
40,95.3986
41,97.8416
42,100.22
43,102.599
44,104.978
45,107.357
46,109.819
47,112.198
48,114.577
49,116.955
50,119.334
51,121.816
52,124.195
53,126.573
54,128.952
55,131.331
56,133.828
57,136.207
58,138.586
59,140.964
60,143.343
61,145.857
62,148.236
63,150.615
64,152.994
65,155.372
66,157.903
67,160.282
68,162.661
69,165.04
70,167.418
71,169.968
72,172.346
73,174.725
74,177.104
75,179.483
76,182.049
77,184.428
78,186.806
79,189.185
80,191.564
81,194.146
82,196.525
83,198.904
84,201.283
85,203.661
86,206.258
87,208.637
88,211.016
89,213.395
90,215.773
91,218.381
92,220.76
93,223.138
94,225.517
95,227.896
96,230.512
97,232.891
98,235.27
99,237.649
100,240.027
101,242.648
102,245.027
103,247.405
104,249.784
105,252.163
106,254.785
107,257.164
108,259.543
109,261.921
110,264.3
111,266.927
112,269.306
113,271.685
114,274.064
115,276.442
116,279.073
117,281.452
118,283.831
119,286.21
120,288.588
121,291.224
122,293.603
123,295.981
124,298.36
125,300.739
126,303.378
127,305.757
128,308.136
129,310.514
130,312.893
131,315.536
132,317.914
133,320.293
134,322.672
135,325.051
136,327.698
137,330.076
138,332.455
139,334.834
140,337.213
141,339.863
142,342.242
143,344.621
144,347
145,349.378
146,352.032
147,354.411
148,356.79
149,359.169
150,361.548
151,364.206
152,366.585
153,368.964
154,371.343
155,373.722
156,376.385
157,378.764
158,381.143
159,383.522
160,385.901
161,388.57
162,390.949
163,393.328
164,395.706
165,398.085
166,400.758
167,403.137
168,405.515
169,407.894
170,410.273
171,412.95
172,415.329
173,417.707
174,420.086
175,422.465
176,425.144
177,427.523
178,429.902
179,432.281
180,434.659
181,437.343
182,439.722
183,442.101
184,444.479
185,446.858
186,449.546
187,451.925
188,454.304
189,456.683
190,459.061
191,461.752
192,464.13
193,466.509
194,468.888
195,471.267
196,473.962
197,476.34
198,478.719
199,481.098
200,483.477
201,486.177
202,488.555
203,490.934
204,493.313
205,495.692
206,498.394
207,500.773
208,503.152
209,505.531
210,507.909
211,510.613
212,512.992
213,515.37
214,517.749
215,520.128
216,522.834
217,525.213
218,527.591
219,529.97
220,532.349
221,535.057
222,537.435
223,539.814
224,542.193
225,544.572
226,547.282
227,549.661
228,552.039
229,554.418
230,556.797
231,559.508
232,561.886
233,564.265
234,566.644
235,569.023
236,571.734
237,574.113
238,576.492
239,578.871
240,581.25
241,583.963
242,586.342
243,588.72
244,591.099
245,593.478
246,596.19
247,598.569
248,600.948
249,603.327
250,605.705
251,608.418
252,610.796
253,613.175
254,615.554
255,617.933
256,620.644
257,623.022
258,625.401
259,627.78
260,630.159
261,632.868
262,635.247
263,637.625
264,640.004
265,642.383
266,645.094
267,647.472
268,649.851
269,652.23
270,654.609
271,657.318
272,659.697
273,662.076
274,664.454
275,666.833
276,669.542
277,671.921
278,674.299
279,676.678
280,679.057
281,681.764
282,684.143
283,686.522
284,688.901
285,691.279
286,693.986
287,696.365
288,698.744
289,701.123
290,703.501
291,706.208
292,708.586
293,710.965
294,713.344
295,715.723
296,718.429
297,720.807
298,723.186
299,725.565
300,727.944
