t,total_energy
0,0
1,2.40215
2,4.78093
3,7.15971
4,9.53848
5,11.9173
6,14.3294
7,16.7082
8,19.0869
9,21.4657
10,23.8445
11,26.2688
12,28.6475
13,31.0263
14,33.4051
15,35.7839
16,38.2237
17,40.6025
18,42.9813
19,45.3601
20,47.7388
21,50.1979
22,52.5767
23,54.9554
24,57.3342
25,59.713
26,62.1936
27,64.5723
28,66.9511
29,69.3299
30,71.7087
31,74.2158
32,76.5945
33,78.9733
34,81.3521
35,83.7309
36,86.2629
37,88.6417
38,91.0205
39,93.3993
40,95.7781
41,98.3426
42,100.721
43,103.1
44,105.479
45,107.858
46,110.454
47,112.833
48,115.212
49,117.59
50,119.969
51,122.603
52,124.982
53,127.36
54,129.739
55,132.118
56,134.782
57,137.161
58,139.539
59,141.918
60,144.297
61,146.997
62,149.376
63,151.755
64,154.134
65,156.512
66,159.244
67,161.623
68,164.002
69,166.381
70,168.759
71,171.527
72,173.906
73,176.284
74,178.663
75,181.042
76,183.84
77,186.219
78,188.598
79,190.977
80,193.355
81,196.185
82,198.564
83,200.943
84,203.322
85,205.701
86,208.565
87,210.944
88,213.322
89,215.701
90,218.08
91,220.974
92,223.353
93,225.731
94,228.11
95,230.489
96,233.416
97,235.794
98,238.173
99,240.552
100,242.931
101,245.889
102,248.268
103,250.646
104,253.025
105,255.404
106,258.392
107,260.771
108,263.149
109,265.528
110,267.907
111,270.922
112,273.3
113,275.679
114,278.058
115,280.437
116,283.482
117,285.861
118,288.24
119,290.619
120,292.997
121,296.072
122,298.451
123,300.829
124,303.208
125,305.587
126,308.694
127,311.072
128,313.451
129,315.83
130,318.209
131,321.342
132,323.721
133,326.1
134,328.478
135,330.857
136,334.019
137,336.397
138,338.776
139,341.155
140,343.534
141,346.715
142,349.103
143,351.481
144,353.86
145,356.239
146,359.436
147,361.837
148,364.215
149,366.594
150,368.973
151,372.183
152,374.596
153,376.975
154,379.353
155,381.732
156,384.957
157,387.383
158,389.762
159,392.14
160,394.519
161,397.758
162,400.197
163,402.576
164,404.955
165,407.333
166,410.588
167,413.039
168,415.417
169,417.796
170,420.175
171,423.446
172,425.91
173,428.289
174,430.668
175,433.047
176,436.33
177,438.809
178,441.187
179,443.566
180,445.945
181,449.245
182,451.735
183,454.114
184,456.493
185,458.872
186,462.185
187,464.689
188,467.068
189,469.447
190,471.826
191,475.155
192,477.672
193,480.051
194,482.43
195,484.809
196,488.151
197,490.679
198,493.058
199,495.437
200,497.816
201,501.172
202,503.708
203,506.087
204,508.466
205,510.844
206,514.215
207,516.762
208,519.141
209,521.519
210,523.898
211,527.278
212,529.832
213,532.211
214,534.59
215,536.969
216,540.357
217,542.918
218,545.297
219,547.675
220,550.054
221,553.45
222,556.018
223,558.397
224,560.775
225,563.154
226,566.556
227,569.127
228,571.506
229,573.885
230,576.264
231,579.674
232,582.246
233,584.625
234,587.004
235,589.383
236,592.803
237,595.382
238,597.761
239,600.139
240,602.518
241,605.946
242,608.528
243,610.907
244,613.286
245,615.665
246,619.094
247,621.679
248,624.057
249,626.436
250,628.815
251,632.248
252,634.834
253,637.213
254,639.592
255,641.971
256,645.406
257,647.994
258,650.373
259,652.752
260,655.131
261,658.565
262,661.157
263,663.536
264,665.915
265,668.293
266,671.729
267,674.322
268,676.701
269,679.079
270,681.458
271,684.896
272,687.491
273,689.87
274,692.248
275,694.627
276,698.063
277,700.66
278,703.039
279,705.418
280,707.797
281,711.235
282,713.834
283,716.213
284,718.591
285,720.97
286,724.405
287,727.005
288,729.384
289,731.762
290,734.141
291,737.568
292,740.166
293,742.545
294,744.924
295,747.302
296,750.723
297,753.32
298,755.699
299,758.078
300,760.457
