t,total_energy
0,0
1,2.41627
2,4.79505
3,7.17383
4,9.55261
5,11.9314
6,14.3533
7,16.7321
8,19.1109
9,21.4897
10,23.8684
11,26.2944
12,28.6732
13,31.052
14,33.4307
15,35.8095
16,38.2362
17,40.615
18,42.9938
19,45.3726
20,47.7514
21,50.1781
22,52.5569
23,54.9357
24,57.3145
25,59.6932
26,62.1177
27,64.4965
28,66.8753
29,69.2541
30,71.6328
31,74.0591
32,76.4379
33,78.8166
34,81.1954
35,83.5742
36,86.0003
37,88.3791
38,90.7578
39,93.1366
40,95.5154
41,97.9417
42,100.32
43,102.699
44,105.078
45,107.457
46,109.88
47,112.259
48,114.638
49,117.016
50,119.395
51,121.819
52,124.198
53,126.577
54,128.956
55,131.334
56,133.768
57,136.147
58,138.526
59,140.904
60,143.283
61,145.734
62,148.113
63,150.492
64,152.87
65,155.249
66,157.716
67,160.095
68,162.474
69,164.853
70,167.231
71,169.713
72,172.092
73,174.471
74,176.849
75,179.228
76,181.714
77,184.092
78,186.471
79,188.85
80,191.229
81,193.716
82,196.095
83,198.473
84,200.852
85,203.231
86,205.716
87,208.095
88,210.474
89,212.853
90,215.232
91,217.719
92,220.098
93,222.477
94,224.856
95,227.234
96,229.721
97,232.1
98,234.479
99,236.857
100,239.236
101,241.723
102,244.102
103,246.481
104,248.86
105,251.239
106,253.72
107,256.098
108,258.477
109,260.856
110,263.235
111,265.699
112,268.077
113,270.456
114,272.835
115,275.214
116,277.658
117,280.036
118,282.415
119,284.794
120,287.173
121,289.605
122,291.984
123,294.362
124,296.741
125,299.12
126,301.549
127,303.928
128,306.306
129,308.685
130,311.064
131,313.497
132,315.876
133,318.254
134,320.633
135,323.012
136,325.445
137,327.824
138,330.203
139,332.581
140,334.96
141,337.394
142,339.772
143,342.151
144,344.53
145,346.909
146,349.341
147,351.72
148,354.098
149,356.477
150,358.856
151,361.289
152,363.668
153,366.047
154,368.426
155,370.804
156,373.238
157,375.617
158,377.996
159,380.374
160,382.753
161,385.187
162,387.566
163,389.944
164,392.323
165,394.702
166,397.135
167,399.514
168,401.893
169,404.271
170,406.65
171,409.081
172,411.46
173,413.838
174,416.217
175,418.596
176,421.017
177,423.396
178,425.775
179,428.154
180,430.533
181,432.947
182,435.326
183,437.705
184,440.083
185,442.462
186,444.875
187,447.254
188,449.633
189,452.011
190,454.39
191,456.819
192,459.198
193,461.576
194,463.955
195,466.334
196,468.782
197,471.16
198,473.539
199,475.918
200,478.297
201,480.758
202,483.137
203,485.516
204,487.895
205,490.274
206,492.735
207,495.114
208,497.493
209,499.871
210,502.25
211,504.712
212,507.091
213,509.47
214,511.849
215,514.227
216,516.69
217,519.069
218,521.447
219,523.826
220,526.205
221,528.668
222,531.047
223,533.426
224,535.804
225,538.183
226,540.646
227,543.025
228,545.404
229,547.783
230,550.161
231,552.624
232,555.003
233,557.382
234,559.761
235,562.139
236,564.598
237,566.977
238,569.355
239,571.734
240,574.113
241,576.566
242,578.945
243,581.324
244,583.703
245,586.081
246,588.524
247,590.903
248,593.282
249,595.66
250,598.039
251,600.469
252,602.848
253,605.227
254,607.605
255,609.984
256,612.414
257,614.793
258,617.172
259,619.551
260,621.93
261,624.377
262,626.756
263,629.134
264,631.513
265,633.892
266,636.34
267,638.719
268,641.097
269,643.476
270,645.855
271,648.304
272,650.683
273,653.061
274,655.44
275,657.819
276,660.268
277,662.647
278,665.026
279,667.404
280,669.783
281,672.232
282,674.611
283,676.99
284,679.369
285,681.748
286,684.196
287,686.575
288,688.954
289,691.333
290,693.711
291,696.161
292,698.54
293,700.918
294,703.297
295,705.676
296,708.124
297,710.502
298,712.881
299,715.26
300,717.639
