t,total_energy
0,0
1,2.418
2,4.79678
3,7.17556
4,9.55433
5,11.9331
6,14.3562
7,16.735
8,19.1138
9,21.4926
10,23.8714
11,26.3017
12,28.6804
13,31.0592
14,33.438
15,35.8168
16,38.2552
17,40.634
18,43.0127
19,45.3915
20,47.7703
21,50.2174
22,52.5962
23,54.975
24,57.3538
25,59.7326
26,62.1893
27,64.5681
28,66.9468
29,69.3256
30,71.7044
31,74.1703
32,76.5491
33,78.9279
34,81.3067
35,83.6854
36,86.1625
37,88.5413
38,90.92
39,93.2988
40,95.6776
41,98.1631
42,100.542
43,102.921
44,105.299
45,107.678
46,110.168
47,112.546
48,114.925
49,117.304
50,119.683
51,122.176
52,124.555
53,126.934
54,129.313
55,131.692
56,134.195
57,136.574
58,138.952
59,141.331
60,143.71
61,146.222
62,148.601
63,150.98
64,153.359
65,155.738
66,158.258
67,160.637
68,163.016
69,165.395
70,167.773
71,170.302
72,172.681
73,175.06
74,177.438
75,179.817
76,182.352
77,184.731
78,187.11
79,189.489
80,191.867
81,194.411
82,196.79
83,199.168
84,201.547
85,203.926
86,206.474
87,208.853
88,211.231
89,213.61
90,215.989
91,218.542
92,220.921
93,223.3
94,225.679
95,228.057
96,230.61
97,232.989
98,235.368
99,237.746
100,240.125
101,242.679
102,245.058
103,247.437
104,249.816
105,252.194
106,254.745
107,257.124
108,259.503
109,261.881
110,264.26
111,266.805
112,269.183
113,271.562
114,273.941
115,276.32
116,278.86
117,281.239
118,283.618
119,285.997
120,288.375
121,290.911
122,293.29
123,295.668
124,298.047
125,300.426
126,302.958
127,305.337
128,307.715
129,310.094
130,312.473
131,315.004
132,317.383
133,319.762
134,322.141
135,324.519
136,327.046
137,329.424
138,331.803
139,334.182
140,336.561
141,339.085
142,341.464
143,343.843
144,346.222
145,348.6
146,351.122
147,353.5
148,355.879
149,358.258
150,360.637
151,363.164
152,365.543
153,367.922
154,370.301
155,372.679
156,375.208
157,377.587
158,379.966
159,382.345
160,384.723
161,387.253
162,389.632
163,392.01
164,394.389
165,396.768
166,399.294
167,401.673
168,404.052
169,406.431
170,408.809
171,411.333
172,413.712
173,416.09
174,418.469
175,420.848
176,423.371
177,425.75
178,428.129
179,430.508
180,432.886
181,435.408
182,437.786
183,440.165
184,442.544
185,444.923
186,447.436
187,449.815
188,452.194
189,454.572
190,456.951
191,459.467
192,461.846
193,464.225
194,466.604
195,468.982
196,471.493
197,473.871
198,476.25
199,478.629
200,481.008
201,483.515
202,485.893
203,488.272
204,490.651
205,493.03
206,495.528
207,497.907
208,500.285
209,502.664
210,505.043
211,507.546
212,509.925
213,512.304
214,514.682
215,517.061
216,519.564
217,521.943
218,524.321
219,526.7
220,529.079
221,531.581
222,533.959
223,536.338
224,538.717
225,541.096
226,543.592
227,545.971
228,548.35
229,550.729
230,553.107
231,555.602
232,557.981
233,560.36
234,562.739
235,565.118
236,567.611
237,569.99
238,572.368
239,574.747
240,577.126
241,579.617
242,581.995
243,584.374
244,586.753
245,589.132
246,591.617
247,593.996
248,596.375
249,598.753
250,601.132
251,603.62
252,605.999
253,608.377
254,610.756
255,613.135
256,615.623
257,618.002
258,620.381
259,622.76
260,625.138
261,627.63
262,630.009
263,632.387
264,634.766
265,637.145
266,639.63
267,642.009
268,644.388
269,646.767
270,649.145
271,651.634
272,654.013
273,656.392
274,658.771
275,661.149
276,663.639
277,666.017
278,668.396
279,670.775
280,673.154
281,675.646
282,678.025
283,680.404
284,682.783
285,685.161
286,687.652
287,690.03
288,692.409
289,694.788
290,697.167
291,699.659
292,702.037
293,704.416
294,706.795
295,709.174
296,711.671
297,714.049
298,716.428
299,718.807
300,721.186
