t,total_energy
0,0
1,2.39649
2,4.77527
3,7.15405
4,9.53283
5,11.9116
6,14.3103
7,16.6891
8,19.0678
9,21.4466
10,23.8254
11,26.2265
12,28.6052
13,30.984
14,33.3628
15,35.7416
16,38.1461
17,40.5249
18,42.9037
19,45.2825
20,47.6613
21,50.0705
22,52.4493
23,54.828
24,57.2068
25,59.5856
26,61.9982
27,64.3769
28,66.7557
29,69.1345
30,71.5133
31,73.9309
32,76.3097
33,78.6884
34,81.0672
35,83.446
36,85.869
37,88.2477
38,90.6265
39,93.0053
40,95.3841
41,97.8132
42,100.192
43,102.571
44,104.95
45,107.328
46,109.764
47,112.143
48,114.521
49,116.9
50,119.279
51,121.719
52,124.098
53,126.477
54,128.856
55,131.234
56,133.68
57,136.059
58,138.438
59,140.816
60,143.195
61,145.646
62,148.025
63,150.403
64,152.782
65,155.161
66,157.617
67,159.996
68,162.375
69,164.753
70,167.132
71,169.593
72,171.972
73,174.351
74,176.73
75,179.108
76,181.573
77,183.952
78,186.331
79,188.71
80,191.088
81,193.557
82,195.936
83,198.315
84,200.694
85,203.072
86,205.549
87,207.928
88,210.307
89,212.685
90,215.064
91,217.545
92,219.923
93,222.302
94,224.681
95,227.06
96,229.544
97,231.923
98,234.302
99,236.681
100,239.059
101,241.546
102,243.925
103,246.304
104,248.683
105,251.062
106,253.553
107,255.932
108,258.311
109,260.69
110,263.068
111,265.565
112,267.944
113,270.323
114,272.702
115,275.08
116,277.581
117,279.96
118,282.339
119,284.718
120,287.096
121,289.602
122,291.981
123,294.359
124,296.738
125,299.117
126,301.626
127,304.005
128,306.384
129,308.762
130,311.141
131,313.655
132,316.034
133,318.413
134,320.792
135,323.171
136,325.689
137,328.068
138,330.447
139,332.825
140,335.204
141,337.725
142,340.103
143,342.482
144,344.861
145,347.24
146,349.765
147,352.144
148,354.523
149,356.901
150,359.28
151,361.809
152,364.188
153,366.567
154,368.946
155,371.325
156,373.859
157,376.238
158,378.617
159,380.995
160,383.374
161,385.913
162,388.292
163,390.67
164,393.049
165,395.428
166,397.971
167,400.35
168,402.728
169,405.107
170,407.486
171,410.031
172,412.41
173,414.789
174,417.168
175,419.547
176,422.096
177,424.475
178,426.854
179,429.233
180,431.612
181,434.166
182,436.545
183,438.924
184,441.303
185,443.682
186,446.241
187,448.62
188,450.998
189,453.377
190,455.756
191,458.318
192,460.697
193,463.076
194,465.455
195,467.834
196,470.399
197,472.778
198,475.157
199,477.536
200,479.915
201,482.484
202,484.862
203,487.241
204,489.62
205,491.999
206,494.57
207,496.949
208,499.328
209,501.707
210,504.086
211,506.66
212,509.039
213,511.418
214,513.796
215,516.175
216,518.752
217,521.131
218,523.51
219,525.889
220,528.268
221,530.846
222,533.225
223,535.604
224,537.983
225,540.361
226,542.942
227,545.321
228,547.699
229,550.078
230,552.457
231,555.038
232,557.417
233,559.796
234,562.175
235,564.553
236,567.136
237,569.515
238,571.894
239,574.273
240,576.651
241,579.234
242,581.613
243,583.992
244,586.371
245,588.749
246,591.333
247,593.712
248,596.091
249,598.469
250,600.848
251,603.432
252,605.81
253,608.189
254,610.568
255,612.947
256,615.53
257,617.909
258,620.288
259,622.667
260,625.046
261,627.629
262,630.008
263,632.387
264,634.766
265,637.145
266,639.728
267,642.107
268,644.485
269,646.864
270,649.243
271,651.826
272,654.205
273,656.583
274,658.962
275,661.341
276,663.925
277,666.303
278,668.682
279,671.061
280,673.44
281,676.023
282,678.402
283,680.781
284,683.159
285,685.538
286,688.122
287,690.501
288,692.879
289,695.258
290,697.637
291,700.219
292,702.598
293,704.977
294,707.355
295,709.734
296,712.316
297,714.695
298,717.074
299,719.453
300,721.831
