t,total_energy
0,0
1,2.40235
2,4.78113
3,7.15991
4,9.53869
5,11.9175
6,14.3299
7,16.7087
8,19.0875
9,21.4663
10,23.845
11,26.2716
12,28.6504
13,31.0291
14,33.4079
15,35.7867
16,38.2295
17,40.6083
18,42.987
19,45.3658
20,47.7446
21,50.2058
22,52.5846
23,54.9633
24,57.3421
25,59.7209
26,62.2042
27,64.583
28,66.9618
29,69.3406
30,71.7193
31,74.2295
32,76.6083
33,78.9871
34,81.3658
35,83.7446
36,86.2839
37,88.6627
38,91.0415
39,93.4202
40,95.799
41,98.367
42,100.746
43,103.125
44,105.503
45,107.882
46,110.488
47,112.866
48,115.245
49,117.624
50,120.003
51,122.644
52,125.023
53,127.401
54,129.78
55,132.159
56,134.832
57,137.211
58,139.59
59,141.968
60,144.347
61,147.054
62,149.432
63,151.811
64,154.19
65,156.569
66,159.31
67,161.688
68,164.067
69,166.446
70,168.825
71,171.6
72,173.979
73,176.358
74,178.736
75,181.115
76,183.924
77,186.302
78,188.681
79,191.06
80,193.439
81,196.281
82,198.66
83,201.039
84,203.418
85,205.797
86,208.667
87,211.046
88,213.425
89,215.804
90,218.183
91,221.085
92,223.464
93,225.843
94,228.221
95,230.6
96,233.531
97,235.91
98,238.289
99,240.668
100,243.046
101,246.008
102,248.387
103,250.765
104,253.144
105,255.523
106,258.513
107,260.891
108,263.27
109,265.649
110,268.028
111,271.049
112,273.427
113,275.806
114,278.185
115,280.564
116,283.61
117,285.989
118,288.368
119,290.747
120,293.125
121,296.201
122,298.58
123,300.959
124,303.337
125,305.716
126,308.817
127,311.196
128,313.575
129,315.954
130,318.333
131,321.465
132,323.844
133,326.223
134,328.602
135,330.98
136,334.143
137,336.522
138,338.901
139,341.28
140,343.658
141,346.843
142,349.228
143,351.607
144,353.986
145,356.364
146,359.563
147,361.961
148,364.339
149,366.718
150,369.097
151,372.312
152,374.725
153,377.104
154,379.482
155,381.861
156,385.092
157,387.518
158,389.896
159,392.275
160,394.654
161,397.901
162,400.341
163,402.72
164,405.099
165,407.478
166,410.74
167,413.197
168,415.576
169,417.955
170,420.334
171,423.611
172,426.083
173,428.462
174,430.841
175,433.22
176,436.511
177,438.998
178,441.377
179,443.755
180,446.134
181,449.44
182,451.938
183,454.317
184,456.696
185,459.074
186,462.393
187,464.903
188,467.282
189,469.661
190,472.04
191,475.376
192,477.899
193,480.278
194,482.657
195,485.036
196,488.383
197,490.919
198,493.297
199,495.676
200,498.055
201,501.415
202,503.96
203,506.339
204,508.718
205,511.097
206,514.468
207,517.02
208,519.399
209,521.778
210,524.157
211,527.538
212,530.097
213,532.476
214,534.854
215,537.233
216,540.622
217,543.185
218,545.564
219,547.943
220,550.322
221,553.717
222,556.282
223,558.661
224,561.04
225,563.419
226,566.819
227,569.388
228,571.767
229,574.145
230,576.524
231,579.937
232,582.507
233,584.886
234,587.265
235,589.643
236,593.068
237,595.643
238,598.021
239,600.4
240,602.779
241,606.212
242,608.789
243,611.168
244,613.546
245,615.925
246,619.362
247,621.937
248,624.316
249,626.694
250,629.073
251,632.513
252,635.087
253,637.466
254,639.845
255,642.223
256,645.663
257,648.238
258,650.617
259,652.996
260,655.375
261,658.814
262,661.391
263,663.77
264,666.148
265,668.527
266,671.967
267,674.546
268,676.924
269,679.303
270,681.682
271,685.124
272,687.704
273,690.082
274,692.461
275,694.84
276,698.281
277,700.862
278,703.241
279,705.62
280,707.999
281,711.442
282,714.023
283,716.401
284,718.78
285,721.159
286,724.596
287,727.177
288,729.556
289,731.935
290,734.314
291,737.747
292,740.333
293,742.712
294,745.09
295,747.469
296,750.904
297,753.495
298,755.874
299,758.253
300,760.632
