t,total_energy
0,0
1,2.446
2,4.82478
3,7.20355
4,9.58233
5,11.9611
6,14.4145
7,16.7932
8,19.172
9,21.5508
10,23.9296
11,26.3846
12,28.7633
13,31.1421
14,33.5209
15,35.8997
16,38.3558
17,40.7346
18,43.1133
19,45.4921
20,47.8709
21,50.331
22,52.7098
23,55.0885
24,57.4673
25,59.8461
26,62.2988
27,64.6776
28,67.0563
29,69.4351
30,71.8139
31,74.2766
32,76.6554
33,79.0342
34,81.413
35,83.7917
36,86.2517
37,88.6304
38,91.0092
39,93.388
40,95.7668
41,98.236
42,100.615
43,102.994
44,105.372
45,107.751
46,110.223
47,112.602
48,114.98
49,117.359
50,119.738
51,122.207
52,124.585
53,126.964
54,129.343
55,131.722
56,134.206
57,136.585
58,138.964
59,141.342
60,143.721
61,146.214
62,148.593
63,150.971
64,153.35
65,155.729
66,158.234
67,160.613
68,162.992
69,165.37
70,167.749
71,170.264
72,172.642
73,175.021
74,177.4
75,179.779
76,182.303
77,184.682
78,187.06
79,189.439
80,191.818
81,194.353
82,196.731
83,199.11
84,201.489
85,203.868
86,206.408
87,208.786
88,211.165
89,213.544
90,215.923
91,218.476
92,220.854
93,223.233
94,225.612
95,227.991
96,230.552
97,232.931
98,235.309
99,237.688
100,240.067
101,242.637
102,245.016
103,247.395
104,249.773
105,252.152
106,254.73
107,257.108
108,259.487
109,261.866
110,264.245
111,266.832
112,269.21
113,271.589
114,273.968
115,276.347
116,278.929
117,281.307
118,283.686
119,286.065
120,288.444
121,291.016
122,293.394
123,295.773
124,298.152
125,300.531
126,303.094
127,305.472
128,307.851
129,310.23
130,312.609
131,315.161
132,317.54
133,319.919
134,322.298
135,324.676
136,327.223
137,329.602
138,331.981
139,334.36
140,336.738
141,339.27
142,341.648
143,344.027
144,346.406
145,348.785
146,351.308
147,353.686
148,356.065
149,358.444
150,360.823
151,363.34
152,365.719
153,368.098
154,370.477
155,372.855
156,375.361
157,377.74
158,380.119
159,382.497
160,384.876
161,387.368
162,389.747
163,392.126
164,394.505
165,396.883
166,399.361
167,401.74
168,404.118
169,406.497
170,408.876
171,411.35
172,413.729
173,416.108
174,418.486
175,420.865
176,423.34
177,425.719
178,428.098
179,430.476
180,432.855
181,435.325
182,437.704
183,440.083
184,442.462
185,444.84
186,447.312
187,449.691
188,452.07
189,454.448
190,456.827
191,459.299
192,461.677
193,464.056
194,466.435
195,468.814
196,471.28
197,473.659
198,476.038
199,478.416
200,480.795
201,483.258
202,485.636
203,488.015
204,490.394
205,492.773
206,495.231
207,497.61
208,499.989
209,502.367
210,504.746
211,507.205
212,509.584
213,511.962
214,514.341
215,516.72
216,519.179
217,521.558
218,523.937
219,526.315
220,528.694
221,531.159
222,533.537
223,535.916
224,538.295
225,540.674
226,543.136
227,545.515
228,547.893
229,550.272
230,552.651
231,555.12
232,557.499
233,559.878
234,562.257
235,564.635
236,567.11
237,569.489
238,571.868
239,574.247
240,576.625
241,579.105
242,581.484
243,583.863
244,586.242
245,588.62
246,591.1
247,593.479
248,595.858
249,598.237
250,600.615
251,603.099
252,605.477
253,607.856
254,610.235
255,612.614
256,615.102
257,617.481
258,619.86
259,622.239
260,624.617
261,627.103
262,629.482
263,631.861
264,634.24
265,636.619
266,639.103
267,641.482
268,643.86
269,646.239
270,648.618
271,651.098
272,653.477
273,655.856
274,658.235
275,660.613
276,663.087
277,665.466
278,667.845
279,670.224
280,672.603
281,675.071
282,677.45
283,679.829
284,682.207
285,684.586
286,687.046
287,689.425
288,691.804
289,694.183
290,696.561
291,699.023
292,701.401
293,703.78
294,706.159
295,708.538
296,710.993
297,713.371
298,715.75
299,718.129
300,720.508
