t,total_energy
0,0
1,2.41817
2,4.79695
3,7.17573
4,9.5545
5,11.9333
6,14.3586
7,16.7374
8,19.1161
9,21.4949
10,23.8737
11,26.3007
12,28.6795
13,31.0583
14,33.437
15,35.8158
16,38.2428
17,40.6215
18,43.0003
19,45.3791
20,47.7579
21,50.185
22,52.5638
23,54.9425
24,57.3213
25,59.7001
26,62.1271
27,64.5059
28,66.8846
29,69.2634
30,71.6422
31,74.0697
32,76.4485
33,78.8272
34,81.206
35,83.5848
36,86.0132
37,88.3919
38,90.7707
39,93.1495
40,95.5283
41,97.9568
42,100.336
43,102.714
44,105.093
45,107.472
46,109.895
47,112.274
48,114.653
49,117.032
50,119.41
51,121.836
52,124.215
53,126.593
54,128.972
55,131.351
56,133.78
57,136.159
58,138.538
59,140.916
60,143.295
61,145.731
62,148.109
63,150.488
64,152.867
65,155.246
66,157.691
67,160.069
68,162.448
69,164.827
70,167.206
71,169.656
72,172.035
73,174.414
74,176.793
75,179.171
76,181.621
77,184
78,186.378
79,188.757
80,191.136
81,193.586
82,195.965
83,198.344
84,200.722
85,203.101
86,205.55
87,207.929
88,210.308
89,212.686
90,215.065
91,217.515
92,219.893
93,222.272
94,224.651
95,227.03
96,229.478
97,231.857
98,234.236
99,236.614
100,238.993
101,241.442
102,243.821
103,246.2
104,248.579
105,250.957
106,253.397
107,255.776
108,258.155
109,260.534
110,262.913
111,265.344
112,267.723
113,270.102
114,272.48
115,274.859
116,277.278
117,279.657
118,282.035
119,284.414
120,286.793
121,289.202
122,291.581
123,293.96
124,296.338
125,298.717
126,301.123
127,303.502
128,305.881
129,308.26
130,310.638
131,313.046
132,315.425
133,317.804
134,320.183
135,322.561
136,324.971
137,327.35
138,329.729
139,332.107
140,334.486
141,336.896
142,339.275
143,341.654
144,344.032
145,346.411
146,348.821
147,351.2
148,353.579
149,355.958
150,358.336
151,360.747
152,363.125
153,365.504
154,367.883
155,370.262
156,372.672
157,375.05
158,377.429
159,379.808
160,382.187
161,384.597
162,386.975
163,389.354
164,391.733
165,394.112
166,396.521
167,398.899
168,401.278
169,403.657
170,406.036
171,408.444
172,410.823
173,413.202
174,415.581
175,417.959
176,420.368
177,422.746
178,425.125
179,427.504
180,429.883
181,432.293
182,434.672
183,437.051
184,439.43
185,441.808
186,444.224
187,446.603
188,448.981
189,451.36
190,453.739
191,456.16
192,458.539
193,460.918
194,463.296
195,465.675
196,468.101
197,470.479
198,472.858
199,475.237
200,477.616
201,480.043
202,482.422
203,484.801
204,487.179
205,489.558
206,491.986
207,494.365
208,496.744
209,499.122
210,501.501
211,503.929
212,506.308
213,508.686
214,511.065
215,513.444
216,515.872
217,518.251
218,520.63
219,523.008
220,525.387
221,527.815
222,530.194
223,532.572
224,534.951
225,537.33
226,539.756
227,542.135
228,544.514
229,546.893
230,549.272
231,551.698
232,554.076
233,556.455
234,558.834
235,561.213
236,563.637
237,566.016
238,568.395
239,570.774
240,573.152
241,575.578
242,577.956
243,580.335
244,582.714
245,585.093
246,587.524
247,589.903
248,592.282
249,594.661
250,597.039
251,599.481
252,601.859
253,604.238
254,606.617
255,608.996
256,611.442
257,613.821
258,616.199
259,618.578
260,620.957
261,623.408
262,625.787
263,628.165
264,630.544
265,632.923
266,635.374
267,637.753
268,640.132
269,642.511
270,644.889
271,647.34
272,649.719
273,652.098
274,654.477
275,656.855
276,659.306
277,661.685
278,664.064
279,666.443
280,668.821
281,671.273
282,673.651
283,676.03
284,678.409
285,680.788
286,683.238
287,685.616
288,687.995
289,690.374
290,692.753
291,695.202
292,697.58
293,699.959
294,702.338
295,704.717
296,707.157
297,709.536
298,711.915
299,714.294
300,716.672
