t,total_energy
0,0
1,2.39642
2,4.7752
3,7.15397
4,9.53275
5,11.9115
6,14.3104
7,16.6892
8,19.068
9,21.4468
10,23.8256
11,26.2277
12,28.6065
13,30.9853
14,33.364
15,35.7428
16,38.1487
17,40.5275
18,42.9063
19,45.2851
20,47.6638
21,50.0736
22,52.4524
23,54.8312
24,57.21
25,59.5888
26,62.0033
27,64.3821
28,66.7609
29,69.1397
30,71.5185
31,73.9391
32,76.3179
33,78.6967
34,81.0755
35,83.4542
36,85.8824
37,88.2611
38,90.6399
39,93.0187
40,95.3975
41,97.8321
42,100.211
43,102.59
44,104.968
45,107.347
46,109.789
47,112.168
48,114.547
49,116.926
50,119.305
51,121.753
52,124.132
53,126.51
54,128.889
55,131.268
56,133.721
57,136.1
58,138.479
59,140.858
60,143.236
61,145.697
62,148.075
63,150.454
64,152.833
65,155.212
66,157.677
67,160.056
68,162.435
69,164.814
70,167.192
71,169.665
72,172.044
73,174.422
74,176.801
75,179.18
76,181.658
77,184.036
78,186.415
79,188.794
80,191.173
81,193.656
82,196.035
83,198.414
84,200.793
85,203.171
86,205.66
87,208.039
88,210.418
89,212.796
90,215.175
91,217.667
92,220.046
93,222.424
94,224.803
95,227.182
96,229.678
97,232.057
98,234.436
99,236.815
100,239.193
101,241.694
102,244.073
103,246.451
104,248.83
105,251.209
106,253.714
107,256.093
108,258.472
109,260.851
110,263.23
111,265.74
112,268.119
113,270.497
114,272.876
115,275.255
116,277.77
117,280.149
118,282.527
119,284.906
120,287.285
121,289.806
122,292.184
123,294.563
124,296.942
125,299.321
126,301.845
127,304.223
128,306.602
129,308.981
130,311.36
131,313.889
132,316.267
133,318.646
134,321.025
135,323.404
136,325.937
137,328.316
138,330.694
139,333.073
140,335.452
141,337.989
142,340.367
143,342.746
144,345.125
145,347.504
146,350.046
147,352.424
148,354.803
149,357.182
150,359.561
151,362.107
152,364.486
153,366.865
154,369.244
155,371.623
156,374.173
157,376.552
158,378.931
159,381.31
160,383.688
161,386.243
162,388.622
163,391.001
164,393.38
165,395.759
166,398.318
167,400.696
168,403.075
169,405.454
170,407.833
171,410.395
172,412.774
173,415.153
174,417.531
175,419.91
176,422.475
177,424.854
178,427.233
179,429.611
180,431.99
181,434.56
182,436.939
183,439.318
184,441.697
185,444.075
186,446.649
187,449.028
188,451.407
189,453.785
190,456.164
191,458.742
192,461.121
193,463.5
194,465.878
195,468.257
196,470.839
197,473.218
198,475.597
199,477.975
200,480.354
201,482.939
202,485.318
203,487.696
204,490.075
205,492.454
206,495.041
207,497.42
208,499.799
209,502.177
210,504.556
211,507.146
212,509.525
213,511.903
214,514.282
215,516.661
216,519.253
217,521.631
218,524.01
219,526.389
220,528.768
221,531.361
222,533.739
223,536.118
224,538.497
225,540.876
226,543.471
227,545.849
228,548.228
229,550.607
230,552.986
231,555.584
232,557.963
233,560.342
234,562.72
235,565.099
236,567.697
237,570.076
238,572.454
239,574.833
240,577.212
241,579.811
242,582.189
243,584.568
244,586.947
245,589.326
246,591.926
247,594.305
248,596.683
249,599.062
250,601.441
251,604.042
252,606.42
253,608.799
254,611.178
255,613.557
256,616.157
257,618.535
258,620.914
259,623.293
260,625.672
261,628.273
262,630.652
263,633.031
264,635.409
265,637.788
266,640.389
267,642.768
268,645.147
269,647.526
270,649.904
271,652.505
272,654.884
273,657.263
274,659.641
275,662.02
276,664.622
277,667.001
278,669.38
279,671.759
280,674.137
281,676.738
282,679.117
283,681.496
284,683.875
285,686.254
286,688.853
287,691.232
288,693.611
289,695.989
290,698.368
291,700.968
292,703.347
293,705.726
294,708.105
295,710.483
296,713.083
297,715.462
298,717.841
299,720.22
300,722.598
