t,total_energy
0,0
1,2.4017
2,4.78048
3,7.15926
4,9.53804
5,11.9168
6,14.3315
7,16.7102
8,19.089
9,21.4678
10,23.8466
11,26.2729
12,28.6517
13,31.0304
14,33.4092
15,35.788
16,38.2283
17,40.6071
18,42.9859
19,45.3647
20,47.7434
21,50.2088
22,52.5876
23,54.9664
24,57.3452
25,59.7239
26,62.2035
27,64.5823
28,66.961
29,69.3398
30,71.7186
31,74.2287
32,76.6075
33,78.9862
34,81.365
35,83.7438
36,86.2844
37,88.6632
38,91.042
39,93.4208
40,95.7995
41,98.3731
42,100.752
43,103.131
44,105.509
45,107.888
46,110.496
47,112.875
48,115.254
49,117.632
50,120.011
51,122.636
52,125.015
53,127.394
54,129.772
55,132.151
56,134.837
57,137.216
58,139.595
59,141.973
60,144.352
61,147.058
62,149.437
63,151.816
64,154.195
65,156.574
66,159.323
67,161.702
68,164.081
69,166.459
70,168.838
71,171.619
72,173.998
73,176.377
74,178.756
75,181.134
76,183.938
77,186.317
78,188.695
79,191.074
80,193.453
81,196.305
82,198.684
83,201.062
84,203.441
85,205.82
86,208.694
87,211.072
88,213.451
89,215.83
90,218.209
91,221.109
92,223.488
93,225.867
94,228.245
95,230.624
96,233.562
97,235.941
98,238.32
99,240.699
100,243.078
101,246.053
102,248.431
103,250.81
104,253.189
105,255.568
106,258.572
107,260.951
108,263.329
109,265.708
110,268.087
111,271.106
112,273.484
113,275.863
114,278.242
115,280.621
116,283.689
117,286.068
118,288.446
119,290.825
120,293.204
121,296.301
122,298.679
123,301.058
124,303.437
125,305.816
126,308.927
127,311.306
128,313.685
129,316.064
130,318.443
131,321.6
132,323.978
133,326.357
134,328.736
135,331.115
136,334.295
137,336.677
138,339.056
139,341.435
140,343.813
141,347.01
142,349.404
143,351.783
144,354.162
145,356.541
146,359.754
147,362.161
148,364.539
149,366.918
150,369.297
151,372.509
152,374.923
153,377.302
154,379.681
155,382.059
156,385.285
157,387.69
158,390.069
159,392.448
160,394.827
161,398.081
162,400.526
163,402.905
164,405.284
165,407.663
166,410.934
167,413.387
168,415.765
169,418.144
170,420.523
171,423.8
172,426.272
173,428.651
174,431.03
175,433.408
176,436.709
177,439.191
178,441.57
179,443.949
180,446.328
181,449.623
182,452.117
183,454.496
184,456.875
185,459.253
186,462.579
187,465.083
188,467.461
189,469.84
190,472.219
191,475.557
192,478.072
193,480.45
194,482.829
195,485.208
196,488.567
197,491.095
198,493.473
199,495.852
200,498.231
201,501.584
202,504.121
203,506.499
204,508.878
205,511.257
206,514.639
207,517.18
208,519.559
209,521.938
210,524.317
211,527.712
212,530.263
213,532.642
214,535.02
215,537.399
216,540.815
217,543.367
218,545.746
219,548.125
220,550.504
221,553.938
222,556.496
223,558.875
224,561.253
225,563.632
226,567.076
227,569.636
228,572.015
229,574.393
230,576.772
231,580.223
232,582.789
233,585.168
234,587.547
235,589.926
236,593.4
237,595.969
238,598.348
239,600.727
240,603.106
241,606.587
242,609.159
243,611.538
244,613.917
245,616.295
246,619.793
247,622.366
248,624.744
249,627.123
250,629.502
251,632.971
252,635.542
253,637.921
254,640.3
255,642.678
256,646.169
257,648.709
258,651.088
259,653.467
260,655.846
261,659.343
262,661.917
263,664.295
264,666.674
265,669.053
266,672.545
267,675.124
268,677.502
269,679.881
270,682.26
271,685.737
272,688.318
273,690.697
274,693.075
275,695.454
276,698.918
277,701.5
278,703.879
279,706.258
280,708.637
281,712.1
282,714.682
283,717.061
284,719.439
285,721.818
286,725.282
287,727.866
288,730.244
289,732.623
290,735.002
291,738.459
292,741.044
293,743.423
294,745.802
295,748.181
296,751.614
297,754.2
298,756.579
299,758.957
300,761.336
