t,total_energy
0,0
1,2.41583
2,4.7946
3,7.17338
4,9.55216
5,11.9309
6,14.3539
7,16.7327
8,19.1114
9,21.4902
10,23.869
11,26.3005
12,28.6793
13,31.058
14,33.4368
15,35.8156
16,38.2518
17,40.6306
18,43.0094
19,45.3881
20,47.7669
21,50.2107
22,52.5895
23,54.9683
24,57.347
25,59.7258
26,62.1767
27,64.5554
28,66.9342
29,69.313
30,71.6918
31,74.1475
32,76.5262
33,78.905
34,81.2838
35,83.6626
36,86.1235
37,88.5023
38,90.881
39,93.2598
40,95.6386
41,98.1045
42,100.483
43,102.862
44,105.241
45,107.62
46,110.091
47,112.47
48,114.849
49,117.228
50,119.606
51,122.078
52,124.457
53,126.836
54,129.215
55,131.593
56,134.08
57,136.459
58,138.838
59,141.216
60,143.595
61,146.1
62,148.479
63,150.858
64,153.237
65,155.616
66,158.152
67,160.53
68,162.909
69,165.288
70,167.667
71,170.237
72,172.616
73,174.995
74,177.373
75,179.752
76,182.354
77,184.733
78,187.112
79,189.491
80,191.869
81,194.504
82,196.883
83,199.262
84,201.64
85,204.019
86,206.691
87,209.07
88,211.449
89,213.828
90,216.207
91,218.916
92,221.295
93,223.674
94,226.053
95,228.432
96,231.176
97,233.555
98,235.933
99,238.312
100,240.691
101,243.459
102,245.838
103,248.217
104,250.595
105,252.974
106,255.779
107,258.158
108,260.536
109,262.915
110,265.294
111,268.102
112,270.48
113,272.859
114,275.238
115,277.617
116,280.43
117,282.809
118,285.188
119,287.566
120,289.945
121,292.755
122,295.133
123,297.512
124,299.891
125,302.27
126,305.09
127,307.469
128,309.848
129,312.226
130,314.605
131,317.443
132,319.822
133,322.201
134,324.58
135,326.958
136,329.817
137,332.196
138,334.574
139,336.953
140,339.332
141,342.223
142,344.602
143,346.981
144,349.36
145,351.739
146,354.663
147,357.042
148,359.421
149,361.8
150,364.178
151,367.137
152,369.516
153,371.894
154,374.273
155,376.652
156,379.668
157,382.047
158,384.426
159,386.804
160,389.183
161,392.22
162,394.599
163,396.978
164,399.357
165,401.735
166,404.839
167,407.218
168,409.596
169,411.975
170,414.354
171,417.508
172,419.888
173,422.266
174,424.645
175,427.024
176,430.192
177,432.594
178,434.973
179,437.352
180,439.731
181,442.91
182,445.336
183,447.715
184,450.094
185,452.472
186,455.655
187,458.1
188,460.479
189,462.858
190,465.236
191,468.419
192,470.884
193,473.263
194,475.642
195,478.021
196,481.22
197,483.7
198,486.079
199,488.457
200,490.836
201,494.039
202,496.53
203,498.908
204,501.287
205,503.666
206,506.882
207,509.382
208,511.761
209,514.14
210,516.519
211,519.741
212,522.251
213,524.63
214,527.009
215,529.387
216,532.622
217,535.109
218,537.488
219,539.867
220,542.245
221,545.494
222,548.011
223,550.39
224,552.769
225,555.148
226,558.41
227,560.933
228,563.312
229,565.69
230,568.069
231,571.345
232,573.87
233,576.249
234,578.628
235,581.007
236,584.286
237,586.809
238,589.188
239,591.567
240,593.946
241,597.225
242,599.747
243,602.125
244,604.504
245,606.883
246,610.17
247,612.688
248,615.066
249,617.445
250,619.824
251,623.111
252,625.628
253,628.007
254,630.386
255,632.764
256,636.062
257,638.58
258,640.959
259,643.338
260,645.717
261,649.008
262,651.528
263,653.907
264,656.286
265,658.665
266,661.951
267,664.473
268,666.852
269,669.23
270,671.609
271,674.878
272,677.396
273,679.775
274,682.154
275,684.532
276,687.809
277,690.326
278,692.705
279,695.084
280,697.462
281,700.729
282,703.243
283,705.621
284,708
285,710.379
286,713.651
287,716.169
288,718.548
289,720.926
290,723.305
291,726.571
292,729.094
293,731.473
294,733.852
295,736.23
296,739.496
297,742.016
298,744.394
299,746.773
300,749.152
