t,total_energy
0,0
1,2.41613
2,4.79491
3,7.17369
4,9.55247
5,11.9312
6,14.3551
7,16.7338
8,19.1126
9,21.4914
10,23.8702
11,26.2992
12,28.6779
13,31.0567
14,33.4355
15,35.8143
16,38.2509
17,40.6297
18,43.0084
19,45.3872
20,47.766
21,50.2107
22,52.5895
23,54.9683
24,57.347
25,59.7258
26,62.1781
27,64.5569
28,66.9357
29,69.3145
30,71.6932
31,74.1545
32,76.5333
33,78.9121
34,81.2909
35,83.6696
36,86.1316
37,88.5104
38,90.8892
39,93.268
40,95.6467
41,98.12
42,100.499
43,102.878
44,105.256
45,107.635
46,110.113
47,112.492
48,114.871
49,117.25
50,119.629
51,122.129
52,124.508
53,126.887
54,129.266
55,131.644
56,134.175
57,136.553
58,138.932
59,141.311
60,143.69
61,146.23
62,148.608
63,150.987
64,153.366
65,155.745
66,158.294
67,160.673
68,163.051
69,165.43
70,167.809
71,170.365
72,172.744
73,175.123
74,177.502
75,179.881
76,182.438
77,184.816
78,187.195
79,189.574
80,191.953
81,194.529
82,196.908
83,199.287
84,201.666
85,204.044
86,206.625
87,209.003
88,211.382
89,213.761
90,216.14
91,218.72
92,221.099
93,223.478
94,225.856
95,228.235
96,230.815
97,233.194
98,235.572
99,237.951
100,240.33
101,242.91
102,245.288
103,247.667
104,250.046
105,252.425
106,254.975
107,257.354
108,259.733
109,262.111
110,264.49
111,267.027
112,269.406
113,271.784
114,274.163
115,276.542
116,279.073
117,281.452
118,283.831
119,286.209
120,288.588
121,291.114
122,293.493
123,295.871
124,298.25
125,300.629
126,303.15
127,305.529
128,307.907
129,310.286
130,312.665
131,315.184
132,317.563
133,319.941
134,322.32
135,324.699
136,327.219
137,329.598
138,331.977
139,334.356
140,336.735
141,339.247
142,341.626
143,344.005
144,346.384
145,348.763
146,351.274
147,353.652
148,356.031
149,358.41
150,360.789
151,363.299
152,365.678
153,368.056
154,370.435
155,372.814
156,375.332
157,377.711
158,380.09
159,382.468
160,384.847
161,387.365
162,389.743
163,392.122
164,394.501
165,396.88
166,399.404
167,401.782
168,404.161
169,406.54
170,408.919
171,411.437
172,413.816
173,416.194
174,418.573
175,420.952
176,423.467
177,425.845
178,428.224
179,430.603
180,432.982
181,435.494
182,437.873
183,440.252
184,442.631
185,445.01
186,447.521
187,449.9
188,452.279
189,454.657
190,457.036
191,459.544
192,461.923
193,464.301
194,466.68
195,469.059
196,471.566
197,473.944
198,476.323
199,478.702
200,481.081
201,483.581
202,485.96
203,488.339
204,490.718
205,493.096
206,495.6
207,497.979
208,500.357
209,502.736
210,505.115
211,507.617
212,509.996
213,512.375
214,514.754
215,517.132
216,519.632
217,522.011
218,524.389
219,526.768
220,529.147
221,531.646
222,534.025
223,536.404
224,538.783
225,541.162
226,543.654
227,546.033
228,548.412
229,550.79
230,553.169
231,555.665
232,558.044
233,560.422
234,562.801
235,565.18
236,567.675
237,570.054
238,572.433
239,574.811
240,577.19
241,579.683
242,582.062
243,584.44
244,586.819
245,589.198
246,591.694
247,594.072
248,596.451
249,598.83
250,601.209
251,603.698
252,606.076
253,608.455
254,610.834
255,613.213
256,615.706
257,618.085
258,620.464
259,622.843
260,625.221
261,627.71
262,630.089
263,632.468
264,634.847
265,637.225
266,639.716
267,642.095
268,644.474
269,646.852
270,649.231
271,651.731
272,654.11
273,656.489
274,658.868
275,661.246
276,663.75
277,666.128
278,668.507
279,670.886
280,673.265
281,675.765
282,678.144
283,680.522
284,682.901
285,685.28
286,687.779
287,690.158
288,692.537
289,694.916
290,697.294
291,699.787
292,702.165
293,704.544
294,706.923
295,709.302
296,711.798
297,714.177
298,716.555
299,718.934
300,721.313
